Source,Target,Weight,Type
0,265,2,undirected
0,292,9,undirected
0,306,2,undirected
0,361,1,undirected
0,365,2,undirected
0,369,3,undirected
0,385,1,undirected
0,447,3,undirected
0,462,1,undirected
1,3,1,undirected
1,7,1,undirected
1,8,7,undirected
1,9,15,undirected
1,10,5,undirected
1,12,2,undirected
1,16,1,undirected
1,18,23,undirected
1,21,2,undirected
2,15,9,undirected
2,217,7,undirected
2,240,2,undirected
2,502,1,undirected
2,509,2,undirected
2,524,8,undirected
2,661,1,undirected
2,705,2,undirected
2,723,2,undirected
3,1,1,undirected
3,8,20,undirected
3,12,1,undirected
3,18,2,undirected
3,23,17,undirected
3,640,1,undirected
4,14,1,undirected
4,22,3,undirected
4,215,2,undirected
4,352,1,undirected
4,542,3,undirected
4,562,3,undirected
4,599,4,undirected
4,663,6,undirected
4,674,2,undirected
4,704,2,undirected
4,711,4,undirected
5,7,5,undirected
5,9,13,undirected
5,12,1,undirected
5,16,1,undirected
5,22,2,undirected
5,537,3,undirected
5,544,7,undirected
5,671,2,undirected
6,13,1,undirected
6,20,3,undirected
6,22,2,undirected
6,248,9,undirected
6,266,2,undirected
6,268,11,undirected
6,272,4,undirected
6,287,2,undirected
7,1,1,undirected
7,5,5,undirected
7,9,1,undirected
7,11,6,undirected
7,12,13,undirected
7,18,1,undirected
7,544,12,undirected
8,1,7,undirected
8,3,20,undirected
8,15,6,undirected
8,18,12,undirected
8,23,8,undirected
8,194,2,undirected
8,577,5,undirected
8,627,2,undirected
9,1,15,undirected
9,5,13,undirected
9,7,1,undirected
9,16,1,undirected
9,19,3,undirected
9,20,7,undirected
9,21,6,undirected
9,537,1,undirected
10,1,5,undirected
10,16,12,undirected
10,18,1,undirected
10,19,2,undirected
10,21,8,undirected
10,709,6,undirected
11,7,6,undirected
11,12,11,undirected
11,14,7,undirected
11,16,5,undirected
11,17,9,undirected
11,18,8,undirected
11,19,12,undirected
11,21,2,undirected
11,22,5,undirected
11,24,9,undirected
11,109,1,undirected
11,336,1,undirected
11,452,3,undirected
11,499,6,undirected
12,1,2,undirected
12,3,1,undirected
12,5,1,undirected
12,7,13,undirected
12,11,11,undirected
12,23,7,undirected
12,544,11,undirected
13,6,1,undirected
13,14,3,undirected
13,16,10,undirected
13,17,19,undirected
13,19,11,undirected
13,20,3,undirected
13,21,3,undirected
13,24,3,undirected
13,357,2,undirected
13,480,3,undirected
14,4,1,undirected
14,11,7,undirected
14,13,3,undirected
14,16,4,undirected
14,19,8,undirected
14,20,1,undirected
14,22,2,undirected
14,315,2,undirected
14,605,1,undirected
14,657,2,undirected
15,2,9,undirected
15,8,6,undirected
15,17,4,undirected
15,23,11,undirected
15,24,2,undirected
15,224,1,undirected
15,526,4,undirected
15,532,3,undirected
16,1,1,undirected
16,5,1,undirected
16,9,1,undirected
16,10,12,undirected
16,11,5,undirected
16,13,10,undirected
16,14,4,undirected
16,17,13,undirected
16,19,24,undirected
16,24,7,undirected
16,709,2,undirected
17,11,9,undirected
17,13,19,undirected
17,15,4,undirected
17,16,13,undirected
17,19,1,undirected
17,22,9,undirected
17,24,10,undirected
17,109,1,undirected
17,499,5,undirected
17,523,2,undirected
17,747,2,undirected
18,1,23,undirected
18,3,2,undirected
18,7,1,undirected
18,8,12,undirected
18,10,1,undirected
18,11,8,undirected
18,620,2,undirected
19,9,3,undirected
19,10,2,undirected
19,11,12,undirected
19,13,11,undirected
19,14,8,undirected
19,16,24,undirected
19,17,1,undirected
19,20,5,undirected
19,21,7,undirected
19,22,1,undirected
19,24,4,undirected
19,499,2,undirected
19,544,3,undirected
20,6,3,undirected
20,9,7,undirected
20,13,3,undirected
20,14,1,undirected
20,19,5,undirected
20,21,9,undirected
20,722,1,undirected
21,1,2,undirected
21,9,6,undirected
21,10,8,undirected
21,11,2,undirected
21,13,3,undirected
21,19,7,undirected
21,20,9,undirected
22,4,3,undirected
22,5,2,undirected
22,6,2,undirected
22,11,5,undirected
22,14,2,undirected
22,17,9,undirected
22,19,1,undirected
22,24,2,undirected
22,47,1,undirected
22,127,2,undirected
22,191,2,undirected
22,544,2,undirected
22,578,1,undirected
22,683,1,undirected
22,708,3,undirected
22,717,3,undirected
23,3,17,undirected
23,8,8,undirected
23,12,7,undirected
23,15,11,undirected
23,29,1,undirected
23,137,3,undirected
23,245,3,undirected
23,387,1,undirected
23,391,1,undirected
23,506,2,undirected
23,544,9,undirected
23,622,2,undirected
24,11,9,undirected
24,13,3,undirected
24,15,2,undirected
24,16,7,undirected
24,17,10,undirected
24,19,4,undirected
24,22,2,undirected
24,164,3,undirected
24,357,4,undirected
